,WikidataID,itemLabel,sitelinks
491,Q9576,"James Callaghan, Baron Callaghan",87
492,Q9576,"James, Baron Callaghan",87
493,Q9576,"James, Baron Callaghan",87
494,Q9576,"James, Baron Callaghan",87
495,Q9576,"James, Baron Callaghan",87
496,Q9576,Leonard James Callaghan,87
497,Q9576,Leonard James Callaghan,87
498,Q9576,Leonard James Callaghan,87
499,Q9576,Leonard James Callaghan,87
500,Q9576,"Leonard James, Baron Callaghan",87
501,Q9576,"Leonard James, Baron Callaghan",87
502,Q9576,"Leonard James, Baron Callaghan",87
503,Q9576,"Leonard James, Baron Callaghan",87
504,Q9576,Lord Callaghan,87
505,Q9576,Lord Callaghan,87
506,Q9576,Lord Callaghan,87
507,Q9576,Lord Callaghan,87
508,Q9576,Lord Callaghan of Cardiff,87
509,Q9576,Lord Callaghan of Cardiff,87
510,Q9576,Lord Callaghan of Cardiff,87
511,Q9576,Lord Callaghan of Cardiff,87
512,Q9582,Ford,164
513,Q9582,Ford,164
514,Q9582,Ford,164
515,Q9582,Ford,164
516,Q9582,Gerald R. Ford,164
517,Q9582,Gerald R. Ford,164
518,Q9582,Gerald R. Ford,164
519,Q9582,Gerald R. Ford,164
520,Q11669,Marshall C. Sanford Jr,31
521,Q11702,John A. Boehner,48
522,Q11702,John Andrew Boehner,48
523,Q11726,Dr. Karl Renner,62
524,Q11734,Engelbert Dollfuß,59
525,Q11815,J. Monroe,148
526,Q11815,President Monroe,148
527,Q11816,John Adams,156
528,Q11816,John Q. Adams,156
529,Q11816,J. Adams,156
530,Q11816,President Adams,156
531,Q11816,JQA,156
532,Q11816,J. Q. Adams,156
533,Q2496,Ludwig Wilhelm Erhard,85
534,Q10707,Mugabe,137
535,Q10707,Robert Gabriel Mugabe,137
536,Q10819,Mariano Rajoy Brey,113
537,Q10819,Mariano Rajoy y Brey,113
538,Q10819,Rajoy,113
539,Q8612,A. Johnson,138
540,Q8612,President Johnson,138
541,Q8619,Joseph Philippe Pierre Yves Elliott Trudeau,82
542,Q8619,Pierre Elliott Trudeau,82
543,Q8620,Francis Nwia Kofi Ngonloma,140
544,Q8620,Francis Nwia Kofi Ngonloma,140
545,Q8620,Francis Nwia Kofi Ngonloma,140
546,Q8620,Francis Nwia Kofi Ngonloma,140
547,Q8620,Francis Nwia Kofi Nkrumah,140
548,Q8620,Francis Nwia Kofi Nkrumah,140
549,Q8620,Francis Nwia Kofi Nkrumah,140
550,Q8620,Francis Nwia Kofi Nkrumah,140
551,Q8620,Nkrumah,140
552,Q8620,Nkrumah,140
553,Q8620,Nkrumah,140
554,Q8620,Nkrumah,140
555,Q8620,Osagyefo Dr. Kwame Nkrumah,140
556,Q8620,Osagyefo Dr. Kwame Nkrumah,140
557,Q8620,Osagyefo Dr. Kwame Nkrumah,140
558,Q8620,Osagyefo Dr. Kwame Nkrumah,140
559,Q2514,Gunnar Gaasland,116
560,Q2514,Gunnar Gaasland,116
561,Q2514,Gunnar Gaasland,116
562,Q2514,Gunnar Gaasland,116
563,Q2514,Herbert Ernst Karl Frahm,116
564,Q2514,Herbert Ernst Karl Frahm,116
565,Q2514,Herbert Ernst Karl Frahm,116
566,Q2514,Herbert Ernst Karl Frahm,116
567,Q2514,Herbert Frahm,116
568,Q2514,Herbert Frahm,116
569,Q2514,Herbert Frahm,116
570,Q2514,Herbert Frahm,116
571,Q2516,Helmut Heinrich Waldemar Schmidt,105
572,Q2516,Helmut Heinrich Waldemar Schmidt,105
573,Q2516,Helmut Heinrich Waldemar Schmidt,105
574,Q2516,Helmut Heinrich Waldemar Schmidt,105
575,Q9960,President Ronald Reagan,303
576,Q9960,R. W. Reagan,303
577,Q9960,Ronald W Reagan,303
578,Q9960,Ronald W. Reagan,303
579,Q9960,Ronald Wilson Reagan,303
580,Q10390,"John S. McCain, III",127
581,Q10390,John Sidney McCain III,127
582,Q9582,G. R. Ford,164
583,Q9582,G. R. Ford,164
584,Q9582,G. R. Ford,164
585,Q9582,G. R. Ford,164
586,Q9582,Gerald Ford Jr.,164
587,Q9582,Gerald Ford Jr.,164
588,Q9582,Gerald Ford Jr.,164
589,Q9582,Gerald Ford Jr.,164
590,Q9582,"Gerald Rudolph ""Jerry"" Ford Jr.",164
591,Q9582,"Gerald Rudolph ""Jerry"" Ford Jr.",164
592,Q9582,"Gerald Rudolph ""Jerry"" Ford Jr.",164
593,Q9582,"Gerald Rudolph ""Jerry"" Ford Jr.",164
594,Q9582,Gerald Rudolph Ford,164
595,Q9582,Gerald Rudolph Ford,164
596,Q9582,Gerald Rudolph Ford,164
597,Q9582,Gerald Rudolph Ford,164
598,Q9582,Gerald Rudolph Ford Jr.,164
599,Q9582,Gerald Rudolph Ford Jr.,164
600,Q9582,Gerald Rudolph Ford Jr.,164
601,Q9582,Gerald Rudolph Ford Jr.,164
602,Q9582,Leslie Lynch King Jr.,164
603,Q9582,Leslie Lynch King Jr.,164
604,Q9582,Leslie Lynch King Jr.,164
605,Q9582,Leslie Lynch King Jr.,164
606,Q9582,President Ford,164
607,Q9582,President Ford,164
608,Q9582,President Ford,164
609,Q9582,President Ford,164
610,Q9588,Dick Nixon,177
611,Q9588,Dick Nixon,177
612,Q9588,Dick Nixon,177
613,Q9588,Dick Nixon,177
614,Q15850,Oleksandr Valentynovych Turchynov,65
615,Q15956,François Schollaert,18
616,Q15956,François Victor Marie Ghislain Schollaert,18
617,Q15956,Franz Schollaert,18
618,Q15981,Jean-Baptiste Nicolas Robert Schuman,69
619,Q15981,Jean-Baptiste Nicolas Robert Schuman,69
620,Q15981,Jean-Baptiste Nicolas Robert Schuman,69
621,Q15981,Jean-Baptiste Nicolas Robert Schuman,69
622,Q15981,Venerable Robert Schuman,69
623,Q15981,Venerable Robert Schuman,69
624,Q15981,Venerable Robert Schuman,69
625,Q15981,Venerable Robert Schuman,69
626,Q8016,Mr Green,239
627,Q8016,Charles Maurin,239
628,Q8016,Winston Spencer Churchill,239
629,Q8016,Sir Winston Churchill,239
630,Q8016,Colonel Warden,239
631,Q8016,Sir Leonard Spencer,239
632,Q8016,Sir Winston Leonard Spencer Churchill,239
633,Q8016,Sir Winston Spencer Churchill,239
634,Q8016,The Honourable Sir Winston Spencer Churchill,239
635,Q8016,The Right Honourable Sir Winston Churchill,239
636,Q8016,The Right Honourable Sir Winston Leonard Spencer Churchill,239
637,Q8016,The Right Honourable Sir Winston Spencer Churchill,239
638,Q8016,Winston Leonard Spencer Churchill,239
639,Q8023,Mandela,273
640,Q8023,Madiba,273
641,Q2628,Walter Ernst Paul Ulbricht,74
642,Q2677,Frederick William Victor Albert of Prussia,122
643,Q2677,Friedrich Wilhelm Emperor William II,122
644,Q2677,Friedrich Wilhelm Viktor Albert von Hohenzollern,122
645,Q2677,Friedrich Wilhelm Viktor Albrecht von Preußen,122
646,Q2677,German Emperor Wilhelm II,122
