"","item","itemLabel","bioid"
"369","http://www.wikidata.org/entity/Q375788","David Holmes","H000735"
"370","http://www.wikidata.org/entity/Q376332","Thomas M. Bowen","B000686"
"371","http://www.wikidata.org/entity/Q376645","John Seymour","S000269"
"372","http://www.wikidata.org/entity/Q376701","Franklin Davenport","D000069"
"373","http://www.wikidata.org/entity/Q376716","John Rutherfurd","R000550"
"374","http://www.wikidata.org/entity/Q376747","James Harlan","H000211"
"375","http://www.wikidata.org/entity/Q376775","Edmund G. Ross","R000445"
"376","http://www.wikidata.org/entity/Q376825","Benjamin Gratz Brown","B000905"
"377","http://www.wikidata.org/entity/Q376857","Herbert S. Walters","W000110"
"378","http://www.wikidata.org/entity/Q377082","John R. McPherson","M000593"
"379","http://www.wikidata.org/entity/Q377161","Albert B. Cummins","C000988"
"380","http://www.wikidata.org/entity/Q377441","George Evans","E000241"
"381","http://www.wikidata.org/entity/Q377459","Trusten Polk","P000411"
"382","http://www.wikidata.org/entity/Q377506","Robert M. La Follette Jr.","L000005"
"383","http://www.wikidata.org/entity/Q377562","John Lambert","L000036"
"384","http://www.wikidata.org/entity/Q377842","J. Allen Frear, Jr.","F000356"
"385","http://www.wikidata.org/entity/Q380550","Eugene McCarthy","M000311"
